00153BD3	matteo vasirani
7FB6882C	c alejandro parraga
7FB817DD	nam p nguyen
7FB88370	yoshiharu sato
7FB9C04E	stuart c shapiro
7FBB8BB9	a davies
7FBCD3E9	luan tang
7FBECFBF	kenneth w regan
7FBEE9FD	shona douglas
7FBF06E8	langford b white
7FBF1407	sadaf abdul rauf
7FC072F1	brian a smith
7FC27B3D	alexander vergara
7FC3AD4F	matthew brown
7FC4D780	peter c wayner
7FC57F66	andre borrmann
7FC61D26	antonio garrido
7FC61EFA	giuseppe sansonetti
7FC989CE	pavithra babu
7FCE07AE	michael hammond
7FCE93B2	s you
7FD12F52	dong cao
7FD2EE75	a a p gibson
7FD31309	daniela kurz
7FD38079	sen song
7FD4A0D6	shukai hsieh
7FD5ADA7	james haggerty
7FD836F1	m narasimha murthy
7FDCD44F	yongjian wu
7FDE144B	jonathon p phillips
7FDE572C	james p crutchfield
7FE03A99	david e van den bout
7FE22CDE	qiang shen
7FE2485C	ann hsieh
7FE4A357	xin dong
7FE50466	mariem ben abdallah
7FE56FB4	xian zhang
7FE7C89C	huiqiong wang
7FE89C7D	john langford
7FE8BE21	man hyung lee
7FE924B9	c d kemp
7FE9B63E	hugh e williams
7FE9E553	tomaž rotovnik
7FEAC3B4	michael nett
7FEFC089	olga duran
7FF14B97	colin matheson
7FF38927	kenneth m kahn
7FF40713	jayant m naik
7FF476A4	luis a arevalo
7FF4860C	sylvie galichet
7FF8E689	sandeepan banerjee
7FF9B8E1	martin wechsler
7FFA0C25	shuo yu
7FFAAEBB	mengmeng li
7FFB055F	james cavanaugh
7FFB607D	peter stone
7FFDF420	matthew a jones
7FFF60DF	andrew m lovett
7FFFA369	seung min jin
8000F7FB	steven a morris
80013CF6	tanweer rashid
80018B6B	bao xin
800295C9	nhathai phan
8003282C	kang hyuk lee
8004DF5E	songnian rong
80079C49	tuomas sandholm
800905D8	bela bauer
800933A6	sheila mendez nunez
80094294	m de v roberts
8009D067	a denise williams
800BD044	raju shrestha
80103C39	george loizou
8010D399	hon wai chun
8014452C	robert platt
80195A06	martin walch
801ADD0C	david b camarillo
801B1B7B	marcelo fiszman
801B1C8C	greg scott
801BDCC9	tingxuan wang
80211E96	xiuwen gong
8023190F	zhongwen xu
8023D9C5	arnd gebhard
8023E3AA	christopher a fuchs
8025406A	jianhua he
80273850	giovanni da san martino
80282F25	kevin dela rosa
802951A6	minhduc pham
8029847A	dmitry moor
802A9966	zhiyong li
802CCFB1	roberto visintainer
802D6F3A	keiichi yoshida
802E2FDA	gaolin fang
80303CCA	maria fox
80308C6E	xin li
8031A603	kenji oka
8031CB8F	dragan marusic
803424C2	luis c lamb
80373919	srinath sridhar
8037CE2D	po hu
8037D41D	richmond h thomason
80398800	j n bradley
803AD03D	daniel mahler
803AECB1	hitoshi ogawa
803AFE5D	stanley a klein
803BB939	haishan liu
803C4EDF	lo yuen yee
803C821A	chunyang ye
803D5F56	zhengzhang chen
803DE1F3	mingting sun
803EA4FB	ji cai
80444CF0	ken tang
8045D85F	yiling yang
80461DF3	yuqi zhang
804910C2	md maruf hasan
8049B47F	yu zhou
804A4CA9	franco raimondi
804A6DD6	takuichi nishimura
804B5CE0	william s lawson
804CECF0	beata beigman klebanov
80520A85	alan george
8052B770	mingming cheng
8053FE32	lai yang
805525DB	michael s gordon
8055EA10	qian yu
805648C1	martin muller
805848BD	yongzheng zhang
805A24E2	shasha feng
805B2E0D	carlos ansotegui gil
805B33DC	loren arthur schwarz
805CB192	peter a jarvis
805E290B	jens scholz
805EC86C	martin ebner
806042A0	francesc xavier llanas parra
8062F2CD	antonio penalver
8064CAE9	jay webber
8066D9F2	baolin peng
806B160C	l e moser
806D3FA7	sascha alda
806EE01A	xiaomeng wu
806FCC75	hiroyuki hamada
80701129	zhengyan he
8070E4C1	lik mui
8071C2D8	cherie cheung
8072957E	stephen a basile
80740645	j m bravo
8074CAED	justin li
80756AC0	padraic hannon
8077800C	avrom pfeffer
80799E44	carole d hafner
807B9422	ruiyun yu
807D3008	huixuan tang
807E40A5	eiji nakano
807ECBD2	patrick reynolds
807F0E63	jiang bian
807F1A65	shuai li
80801E73	jose m juarez
80805747	sanjay ranka
80821730	kledilson ferreira
8083C02A	randall davis
808452F6	yunzhi tan
8085053D	xueyuan zhou
8085EDD9	jeffrey c allen
8088AF38	jelena kovacevic
80895163	howard a blair
8089956A	guangyu zhu
808B62C1	jianxin li
808D4ECD	aaron a armstrong
808E4F64	wen lian hsu
808F6B4F	yufeng zang
80910E60	james p hollinger
8093C46F	cliff f ruff
80965FF4	mark casper
80966BDE	pietro lio
8097B9BE	noah h smith
8099249C	juliana jansen ferreira
809A71C3	sander canisius
809B8CB0	fulvio negro
809CAD7D	kevin s knight
809FAD9E	tuyen huynh
80A1BAE0	c cordell green
80A30029	dan klein
80A31282	steve a billings
80A5AD60	narendra gupta
80A75191	j w chang
80A7EBDE	chris clifton
80A80A11	niraj p doshi
80A8C563	r r bakker
80ABCB22	erhard rahm
80AC05DE	j e brewer
80AE18BB	zejian yuan
80AE5567	eric nichols
80B258B1	guy godin
80B3657A	paul p thompson
80B42931	arne mauser
80B4541D	tilman becker
80B4C314	gabriel takacs
80B58373	chungming huang
80B77F5A	richard weiss
80B8636D	shike mei
80B8FC32	ray j paul
80B9A1FE	young bum kim
80BC977A	judee k burgoon
80BD1C4C	r d joseph
80BD3BFE	abhay kumar yadav
80BE39A5	jerry h seo
80BEE20F	michael bray
80BF08FB	marcello pelillo
80C01685	thomas b kane
80C207FE	shuji yoshizawa
80C2F5DA	andrew head
80C354E6	shenghua liu
80C87CAC	jacobo garcia miro
80C9A455	dong hai guan
80CA2278	parang saraf
80CB6183	minjie xu
80D0A17C	gary phipps
80D137A3	fuchiang chou
80D194B8	michael leventhal
80D396FB	hemant kumar mehta
80D6ADEA	daniele godard
80D6C2CD	hossein ahmadi
80D8539C	marta arias
80D8823B	herbert s levinson
80DA529A	richard c simpson
80DEA675	kevin i smith
80E06965	sven jacobi
80E083DF	frankandre ries
80E08657	zi yuan
80E0B29F	t kok
80E1609E	huihua kenny chiang
80E32E22	yidong chen
80E37758	jinghua chen
80E7F8E1	timo jarvinen
80E801F2	charles j stone
80ECFA64	ben russell
80EFA16D	anita sarma
80F2A29E	xuemei zhao
80F58907	samuel a hoffman
80F5F17E	angel a juan
80F60966	congyan lang
80F71057	xiaotao wu
80F7F8A0	hyeonkyeong kim
80F8644A	rajeev agrawal
80FA95BB	yasutsugu ogura
80FAAE73	taiki honma
80FB3887	kaile su
80FC0775	saad shakhshir
80FDC32C	yuanchao liu
81005FBB	yizhe zhang
8100BD10	frank richter
810389F6	steven de jong
810695C6	xuhui shao
8107ECD8	zuowei shen
810A0E5B	anupam joshi
810A9998	m k raza
810B4A93	zheng chen
810C86A8	ziang xie
810D2DAB	pedro lopez
810ECDDD	van dung hoang
810F73CE	stuart j khan
811044E9	afshin rahimi
811080A9	pratyush sen
81139945	shayan a tabrizi
811410EC	ho lam lau
81146E85	xiansheng hua
8115850D	krishna b kumar
811689CA	forrest briggs
8116C88C	peter c dillinger
8116CE24	andres quiroz
8116D203	xiaocheng feng
811B375B	dehua cheng
811BB614	boya wu
811BE81F	elly winner
811D7F17	eric sanjuan
8120BD9C	chen hsuan lin
81218B4F	tele hao
8121FB43	yaoxue zhang
81239906	antonio canedo
81245327	jennifer wortman
8127A2DD	arvind k joshi
8128920B	leonard p wesley
812A022C	xiaoming song
812A5D44	silvio romero de lemos meira
812D24D3	paramesran raveendran
812D9420	lorenzo fernandez
812EE392	jungyeul park
812F1C2F	peng ren
812F80C1	drew mcdermott
8130569F	kal ahmed
8130E543	zhijian zhang
81379760	richard t b ma
8138C2AC	james m allan
8139101A	yi chang
813929B1	basura fernando
8139AD18	stephane girard
8139D9B9	kelly ann marshall
813A2D1E	nikolaj lindberg
813AEB37	christian lovato
813E7BE7	mauricio oyarzun
813F13B1	julio villena roman
813FD360	haoran huang
81420B63	david c schneider
8144D71F	kathleen m sheehan
814516C9	tonia g morris
8145A9F9	chong ding
814661AE	xinyi huang
81472DDB	norihisa suzuki
81493F79	xiaozhong fan
8149AFAE	hongyan jing
8149D96B	sudha s reese
814E9B50	yong ren
8150EB19	zhen lei
8154F91A	spence green
8155AF94	jiajun bu
8156435A	phyo phyo san
81585275	yefei peng
8158B67F	guido bonomi
8159A7AE	r alan peters
8159EB27	jinying chen
815AB99B	william t shi
815ADE23	stefan scherer
815B4B31	vicki bennett
815CDA93	daben liu
815E970F	steven abney
81634FFC	zhaohui zheng
81635454	robert roth
81642578	washef ahmed
816472CD	ahmetcan erdogan
8165E86C	dongwoo kim
816626FF	menno m van zaanen
81686333	oscar camacho nieto
816B8629	yi mao
816EE952	zhipeng zhang
81727419	daniel d morris
81727BA6	benedikt schmidt
8173FDF8	hang yu
817460FE	sangho park
8174B219	xiaojuan ma
81771E42	hyoseung kim
817826D3	barney dalton
8178F5F6	qijun zhao
817B1C47	bin gao
818797D1	don hush
818BA0F0	susanne gahl
818FE086	walter pitts
8190F448	marcel schoppers
819224C6	pamela j thompson
8195230E	jun jaio
819C0159	jill fain
819DF6AA	takashi tsuchiya
819FC3A1	marin dimitrov
81A39AB1	miguel ballesteros
81A3AC29	minora asada
81A425D6	steven weyer
81A58232	raul guerra
81A9ED23	judy bachant
81B1846A	ira assent
81B4FD32	h levinson
81BB7CB7	ricardo j g b campello
81BD22D7	li wei
81C27F29	clement fredembach
81C284BB	richard mueller
81C786DD	h wong
81CADA53	alexandra luccioni
81CE86EE	ringo baumann
81D21C26	k ahmed
81D27981	roger r schell
81D59B65	tianbo yang
81E26789	yvonne adesam
81E3E134	hanbin chen
81EE51E3	lilyana mihalkova
820131FE	beatrice liem
8203C2A6	algahtani shabib and mcnaught john
8207D5DA	koosha khalvati
8209E9C9	e gomathi
8209FEDA	harikrishna narasimhan
820B409D	david j anderson
82107A4B	david c percy
8210AF44	petter mihlcnt
8214A659	liang hu
82154B00	timothee cour
8223743D	oskar dressler
82270C85	david l waltz
8229085A	t van der weide
822935A4	qihe pan
822C1D47	michele gouiffes
8233A154	sam steel
8244D281	thomas hentrich
82517ED0	sara shafiee
8254192F	andrew t smith
82543FE6	guy j brown
825869EF	heuristic search
825AB877	kaushik nath
825CAB6C	junfang zeng
82611132	nuno m vasconcelos
82623DC9	philip dodds
82743AF7	s chaudhuri
82744907	yasin abbasi
827871D4	gabriel taubint
827AC465	michael skinner
827AE968	t l towles
8281A230	cintia ferrarini oliver
8286A98F	yu pang
8288610F	nicolas heess
828946B1	alfons kemper
828AB4FE	mansour alsaleh
828CF4E4	ling zhang
828CF8E8	stanley chan
8290CE2A	s ganapathy
82934784	milena petrova
82949DB5	alistair mclean
82963A12	mohamed walid ayech
829A28B7	m d davis
829E7110	s s iyengar
829FACCF	mary jo rattermann
82A4E5A5	anna goldenberg
82A6AD18	n a clark
82A926F2	edith elkind
82A9DC07	thomas a brubaker
82B29A78	charupriya sharma
82B3A828	naohiro matsumura
82B5429E	franziska meier
82B6D735	william wei song
82B97CD0	eric simon
82BB6C04	t s larsen
82C4FAD6	jean meunier
82D055FE	dan tappan
82D15C51	david p wilson
82D15C9C	xin li
82D3556F	piotr lech szczepanski
82D39107	koji yamamoto
82D5AA1C	antoine brusseau
82D692FB	ruimin shen
82DDCDAE	chuan li
82E46C73	radhika garg
82E5822A	sashank varma
82E890DA	f busch
82F8E4C4	huowang chen
82F9CBB8	hyung jin chang
82FDB0C4	christopher hahne
82FE2DEF	shilad sen
830020DD	adrish banerjee
8301AD17	sharanya eswaran
830430AC	liyuan li
8305C4D0	craig harman
830AD7AE	stuart andrews
83106F96	zhang xuehua
831DF142	avi segal
832662F5	valery a petrushin
832C7A1A	mathew j palakal
83300659	shinichiro kamei
8331E47B	m p kumar
83321D62	michael strube
83370638	sanjay chawla
833AB89B	ramana v polavarapu
833C4E8D	martin urban
8347EF2E	ted kang
83490C88	lionel moisan
834A1269	zheng li
835B3A2F	marco pedersoli
835D2FA4	miranda anderson
83614F79	raymond reiter
83617AF1	william r swartout
8362B3CF	bradley richards
836BCB8C	aurelien bellet
836F35B9	m compiani
83770B27	yinzhu zhao
83810CD5	jitendra malik
83835266	brian c lovell
839ABC34	lin xu
839CE864	xu kong
83A4B1C5	adrienne l fairhall
83A6C33E	edmond mesrobian
83A78EB5	pedro lopez
83AB29DD	erann gat
83B4628D	alex gruver
83B5A9F3	albert b schwartz
83C75E8A	islam beltagy and katrin erk and raymond j mooney
83D01C77	amna batool
83D272C1	antonin sulc
83D30AB3	vuk malbasa
83DF3262	richard e schwemm
83EA1D73	guoxing wang
83EE0BF7	lei chen
83F03624	john eklund
83F17E7D	tom maguire
83F5E46C	alan filipski
83F8E3C0	dinglong duan
83F97E4F	william k hartmann
8402D356	pierre andrews
84056C79	ali inam
840B4BA8	aditya gopalan
840E42E2	marcio dorn
84116A4E	stephan goebel
8413AC9A	richard fikes
8417EF51	martin berger
841B91F0	jie zhang
842BB002	mark frank
842F3ACA	jianfeng zhu
84356702	ralph grishman
843BD6C3	tomek strzalkowski
843E0922	d c joshi
843E9EC4	hoong chuin lau
844984B2	yusuke watanabe
845032E9	aayush sharma
845424BA	shun ishizaki
8456BC8F	anthony r davis
8457C9C6	thomas zielke
845EC944	laxmi n bhuyan
846016DD	victoria c stodden
846426BE	behraoz parhami
8466DBF3	b c wang
846907C8	umberto de giovannini
84717526	oleg a sapozhnikov
84718BD1	muhanmad attamim
84723804	rebecca malinas
847349EF	george m miller
8473CB15	bhargavi peyakunta
84744C3D	guido gigli
847587FB	tai hsu
8476040C	justin crause
84782883	c r decarlo
84794A22	zhao xunping
84797057	j j staller
8479D696	brian bies
847A312E	bharath sriram
847A4078	c b carlson
847C3131	t g windeknecht
847C688C	l r huang
847CC16A	nicholas stanisha
847E2DC4	joseph w barker
847E616D	josu goikoetxea
847FC2A4	jonathan guyomard
84806E11	sarah katz
8483EA22	j pasquier boltuck
84851E45	martin van tonder
8485CCCC	peng yang
8485DF98	amnon lotem
84879708	christopher rae
8487BCEA	k nogami
8487C5F6	muchuan guo
8487ED6B	perla a troncoso rey
84891794	yann chevaleyre
848A5648	stanley k chao
848A977E	mayuri duggirala
848B1766	gervais mendy
848BFE3E	juan m huerta
848CB48D	mandalay grems
848E4026	rogerio de paula
848F87E4	thibault varacca
84911C16	greg martin
8491F0EA	w f chow
8492E25C	joseph heskin
8492FB55	pornpawit boonsrimuang
849365B8	blake burgess
84936C9F	barbara dunin keplicz
8493A7E1	dennie van tassel
8494BEA4	m a karim
84966F03	yunzhi chen
8497416A	grauman
84977CA8	logan giorda
849854FB	syed sharique ahmad
8498B0E5	heiler
84992D0F	gaurav aggarwal
8499E396	rohit saraf
849AB165	yelong shen
849AC75F	bergevin
849AF2B2	anubhav bhatia
849B65FD	ira m kay
849BC3A7	rother
849BF713	tiffany chen
849CCE96	pip wilcox
849CD342	sangsu choi
849D0C92	chihhung hsieh
849DAC6E	paul fontes
849F24E9	dieter beckert
849F5C33	sekhar konetigari
84A03687	zhe wang
84A0E5CF	wen xiangming
84A147C8	matthew hirst
84A18EF3	mengxin liu
84A1C3F5	ottavia bassetti
84A1FFA0	maria kazandjieva
84A3420C	henry l bachman
84A41124	p m bajaria
84A4B80E	abe gottlieb
84A54FDC	ehsanul faruque
84A5EA58	saswata shannigrahi
84A6CF7C	david j miller
84A7F6AF	hordley
84A8AFE9	perry e rosove
84A9A828	n d cahil
84AACC93	kyongho min
84AB5A00	gerd lindner
84ACFCCF	resales
84AD52D8	xiaofang yang
84AD6ABD	josep ramon casas pla
84AE399C	r e forbes
84AEE726	bart selman
84AF7856	l h kurkjian
84B02802	j ilonen
84B04E54	geoffrey f miller
84B278C8	raymod j mooney
84B43BD1	yi zhao
84B44B52	jasson d m rennie
84B44D5E	james r deline
84B46FCF	soumya ray
84B4ADA6	shinnjang ho
84B52B79	andrew patterson
84B5E163	xavier soinard
84B63553	joyojeet pal
84B759DF	k l pearson
84B8258A	nitin agrarwal
84B8C15C	seongbin park
84B8C7C1	george eisler
84BA005C	john turgeson
84BA0C38	xian zhang
84BA1A5C	leonel morales diaz
84BAA518	deepak martin
84BACFC9	dennis murphree
84BB6BA1	oren melamud
84BBCB35	saul kuchinsky
84BC1C4D	yaroslav v spirin
84BDCA18	barlaud
84BE0486	sawhney
84BEE213	elmelegy
84C0B85D	eriq augustine
84C329AF	peter regelbrietzman
84C3A2FA	qianyi zhou
84C400E6	anupam mukhopadhyay
84C42E11	cipolla
84C5127D	donald a davidson
84C57F01	ji jun
84C5E0FE	jinglei wang
84C80AB6	frolova
84C8450B	wang susheng
84C85D2E	pikmai hui
84C8F66A	nicola perillo
84C919AD	xiaojian li
84CA1DE6	janmicheal frahm
84CA5193	sarmimala saikia
84CC1885	guoqiang ma
84CCB780	younghee jang
84CD1E09	xiaoxiao li
84CE5B7C	n srinivas
84CEB71D	akomeno omu
84CED35A	yoshihiro nagase
84CF4FE5	mingjin zhang
84CF6CDD	howard hathaway aiken
84D062FD	anh ngoc vo
84D0E38C	d mishr
84D15623	robert c spindel
84D15635	christie nelson
84D2280C	deena larsen
84D2B92A	julie dugdale
84D38FAD	carl harrington
84D6123A	hanif azhar
84D63C2C	s henry
84DAAB51	nayar
84DB649F	antonio luiz de mesquita
84DBCE6B	zhuhao wang
84DC25B6	pritish mohapatra
84DEA020	david neistadt
84DF0D4C	ishita ghosh
84DF1C84	team members cisl
84DF7C63	joseph adler
84E0C91D	lorijn zaadnoordijk
84E10916	efi kokiopoulou
84E163EA	ira boldt
84E20E0A	aaron netz
84E26984	qi lyu
84E2AECE	david wilkie
84E30093	hardik acharya
84E31D31	brahim chaib draa
84E3AF9B	santhosh simon
84E5C1F5	mayank juneja
84E5F45C	a b cambra
84E67E7B	anjon basak
84E72044	toma vojir
84E7AEE8	zhang yuanmin
84E7E9FE	kuangye guo
84E91C8A	robert moakler
84E9BA3F	bang rae lee
84EAEA0D	ankit laddha
84EB3FE2	j chai
84ECA1D6	david s channin
84EEB288	mandana hamidi
84EF25EE	luis j salazar
84EF826F	tom s h lee
84F39322	heidi wang
84F3A555	harvey z kriloff
84F4E0C9	perapon anusarnsunthorn
84F64CC8	ralf lubeck
84F64E33	scott julian
84F67240	andrew p moore
84F8C486	mayank agrawal
84F8D387	tom kraay
84F9E5E2	shiqiang zhen
84FEBBEB	carl adrian
84FF76B0	s k mirajul haque
8500A3B2	richa mishra
8500F538	wiriya techaploog
85013AC2	ivor tsang
850184F6	a w holt
8502453E	linxi fan
8503D9D0	luciano silva
85049E8C	jefferey pomerantz
8504FAFF	xianlian shang
8505477A	azreen azman
850586CA	irwin r etter
85069792	junfeng wu
8507E560	toufeeq hussain
85082617	zhengyang wu
8508619A	prajwal shanthakumar
850AE992	fred f coury
850BDD28	jean paul veuillez
850C4CA6	hector gonzalez
850C6D2D	matthew boutell
850DCA7C	robert w reichard
850ED2F7	jerome delobelle
850F1DFC	xueqing liu
85100BA0	phil tian
85115C6D	reid simmons
8511BC48	n ercan ozgencil
8511D8C9	cheong loong fah
85123DB1	c afuso
8512711E	bilahari akkiraju
8513D86C	beibei yang
851718DF	wen wang
85190F89	yanlin guo
851A06FA	amit hooda
851A57C4	angel martin del rey
851CB0E5	mary phillips
851CB389	ilaria liccardi
85228AE0	david chapman
85267C19	axel pinz
8526CC4A	william b thompson
85282DCF	cunhui zhang
85299858	heike wronn
852ACA83	nan zhang
852F03BB	wei pang
8532CF1E	amanda hutton
85348E70	oriol vinyals
85369B24	peter n belhumeur
8539C2C5	feng zheng
853A5EA3	kamalakar karlapalem
853E4968	alda lopes gancarski
854078D9	p pardo
85417423	jiacheng xu
8547A695	chaoyang wang
854886AB	t arbuckle
85493A53	jose r sanchez
854CAAED	james clarke
854E5B50	yang li
85574696	paula kotze
8557B6ED	j parisi
855803D7	agim ballvora
85580E4F	martin potthast
8559A435	beverly park woolf
8559C8AB	jinggang huang
855AB4DF	emilio paolucci
855AEA7B	alexander kruglyi
855D1759	lars buesing
856031A5	xiaoyu huang
856133DE	mi zhang
8561B573	bin wu
8562128F	tadmeri narayan vikram
8563B9D0	j x huang
8564B6E7	carol l novak
8566035A	david j talbot
8567BE85	roberto cipolla
8569E6C7	qi ng li
856CD816	jose perezcarballo
856E1BB9	heloisa candello
856E4B7C	christopher h stock
856E72C3	daniel beck
856EDC12	xu ying
856F5DD7	richard brooks
856FE140	maksim petrov
8573C0DC	kai fan
85757301	margi rinaldo
8576DACF	william garner
857E7B13	istvan szita
857EA2A5	soumen chakrabarti
8581A52C	antonio agudo
858CB0A1	lei sun
858D9BF3	andrea mennucci
859448E2	jie chen
8595BC86	g n shah
8596E56F	takeshi sagara
859C62FE	jie chi yang
859D5145	dominik peters
859E00BA	tony bell
859E6FBF	xixian chen
859F1469	pascal molli
85A066EB	josyula r rao
85AA73D9	zhen li
85ABA12A	donald kossmann
85AE7E3E	zhen peng
85AFBA2A	nicoletta calzolari
85B4C77B	yun shen
85BBAA2E	jeanfrancois crespo
85BDA2AE	aminul islam
85BED39D	ming liu
85C06936	nahum kiryati
85C0CFB0	zhongkang lu
85C1023E	david harwood
85C3AF2B	vincent roux
85C497F2	daniele quercia
85CDE7AD	daniel goc
85CE6C8E	dieter schmalstieg
85D2DE9C	shaolei ren
85DB2305	lei yu
85E0C39D	parisa rastin
85E95D71	jie lu
85E9A2BD	gennaro di tosto
85ED8EFD	wei li
85EF8A6A	maria valera
85F01430	m e maron
85F2331E	william thies
85F3B15B	dragutin petkovic
85F95E3D	richard c willson
85FC8E58	malik ghallab
85FE78F0	jie shao
86081C15	christian wallraven
8608A9D3	tomoyuki ohya
860CD034	pritee agrawal
860E24A8	dominik dahlem
8611787B	kohei hayashi
861A479C	emmanuel j candes
861C7B0D	daniel silva
861CC8CC	alexander s yeh
861EA3E3	elizabeth c hillman
861F22C6	volkan cirik
861F6414	kenneth wood
861FBC92	ramiro varela
861FCA15	kangqi luo
861FF747	robert e shostak
86204412	shengdong zhao
8620BB86	jeanjeacques slotine
8620BE7D	russ miller
8621DAE1	liang zhang
86225691	yaojie lu
8622D825	jordan schmidek
86230C4D	ngoc phuoc an vo
86231221	franz matthies
86232F08	dingcheng li
8624EA5A	daniel lokshtanov
86266E12	jiři materna
8626F64F	salud m jimenezzafra
86278BAC	kelsey allen
86283427	douglas stebila
86284823	hai wang
8628585D	julien perez
86285ACA	g dinesh
8628DFD2	fotis jannidis
86297171	shlomo moran
8629D1F5	buccleuch place
862A1081	anja belz
862ADEA2	wolfgang menzel
862AEE02	stuart j russell
862B0339	brendan mcmahan
862B27CD	jackson lee
862B5A1C	david m kristol
862B60E6	zengfu wang
862C323B	hendra setiawan
862C8DEA	muhammed yavuz nuzumlala
862CBC37	hassan sawaf
862D0E6C	hoifung poon
862D7D34	amit goyal
862E93CE	terry winograd
862ED685	eliana vornov
862F97BA	lara martin
862FDFF1	xuesong suo
862FE3F1	georgios katsimpras
86301D68	hal mccartor
86305E3D	adam welc
8630CA26	naoya todo
8630F630	alexandre r romariz
86320B39	lu yang
86324F16	heather friedberg
8632EA87	aurelie neveol
86330B1D	aravind k jushi
86330F5B	pehlivan ilknur
86333A91	theerawat songyot
86336237	xuzhong wang
8633A049	clayton greenberg
8633C98D	pierangelo veltri
8633E0C9	balazs kegl
863442F9	audi primadhanty
8634E74C	yun li
86350160	jean mark gawron
86356CCB	gilhaeng lee
8635D0FC	alon y levy
8635D738	dirk vermeir
86360826	yukiko nakagawa
86370A6B	maja popovic
86372F3C	rayid ghani
8637E09F	huiying zhong
86381E26	jackson w c souza
8638DF9D	margaret mitchell
8638F561	justin grimmer
863904A0	kathy mckeown
863A6C6C	sanket s sharma
863AD774	r m cesar
863AE0B6	wenyan lin
863AF425	xavier tannier
863AFC1B	rani pinchuk
863BC89C	omar zaidan
863C0B54	axel philipsenburg
863CF2B6	andrew predoehl
863D53FD	yun chen
863D635D	larry a rendell
863D8074	michael l gargano
863E628B	marcin detyniecki
863EA8C0	dianhai yu
863ED385	minaxi gupta
863EF51B	noureddine elouazizi
001CDEB6	andrzej drygajlo
00340627	jan padeken
003CFC4D	yonatan bisk
0045875F	stanley rosenschein
0046AFEE	myriam lamolle
00768F35	dino pedreschi
0097AE12	eva hajicova
00ADE11B	maria grazia fugini
00B2EA3A	mathieu daquin
00DEF4E3	niklas ravaja
011AE788	nieves r brisaboa
012133D7	mohammad ghavamzadeh
01226591	noam nisan
0134D34E	stephan peitz
013D1BD4	jesus martinezdelrincon
0158E5F0	richard e korf
01760AAD	andrea esuli
017CBFDA	uri maoz
01EB92AD	nicolas usunier
0227F3A7	jerome louradour
0231E4F2	adi shraibman
023BEF3E	enrico giunchiglia
023F37AB	alain polguere
024DCA11	lena maierhein
0254D971	david r musicant
0255F927	susanne biundo
026C6612	alina andreevskaia
02A02D1C	michael e hasselmo
02AD099A	teresa serranogotarredona
02CAB4A9	alberto lluchlafuente
030B0902	reza taghavi fallahpoor
0310AF2C	philippe laublet
032465BD	erik saule
03407B20	umesh a korde
036D7531	alberto h f laender
03AE7C61	ulli waltinger
03D01455	ben anthonis
0427AB65	amir z averbuch
0432FBB0	peter widmayer
043AA215	pontus warnestal
045244C9	douglas r baumgardt
046B4184	y yakimovsky
049A4D27	vassilios s verykios
052AAD76	george tambouratzis
0577B3BB	stefan mairhofer
057AB9AC	haris dindo
0581C5E3	john g gums
059097F7	carl symborski
05A7BECB	artem kaznatcheev
05C34E8E	nicolas maudet
05CFEA7B	david r strip
05DE293A	krister segerberg
05EFE862	mutsunori banbara
0615A05D	rushil raghavjee
0652ED2D	tristan cazenave
06C07CAC	hitoshi ohgashi
06FA1C2F	kent a kiehl
0705805F	christos gkantsidis
07216D56	pierre fastrez
0736F258	joachim wermter
0745D39C	janjao sutiwaraphun
07595394	monthippa uthansakul
076CF301	milen kouylekov
0782B565	gabor gosztolya
07EE949B	stefan gumhold
081621C7	patrice boizumault
08187BBD	laveen n kanal
08457C35	gus calapristi
084C4832	jonathan nissanov
086B980D	heather hitemitchell
086BF86E	yves moinard
08F51A0F	jan maluszynski
08F5E042	brice michoud
09131BC5	katarzyna abramczuk
0916A971	piero tortoli
0928C54A	verena hebler
099BAC78	erkki heikkola
09AC4A2E	kasper osterbye
09AEEDDD	bob coyne
09CE0953	goce ristanoski
0A1C4E48	rahul bhotika
0A208EC6	aurelie clodic
0A234B4F	nahum kiryati
0A2738B8	penio s penev
0A4B300B	ulrike glavitsch
0A795AD7	aris filosratsikas
0A875414	tolga tasdizen
0AAC5CDB	daniel vladusic
0AD4070A	martin haulrich
0ADAF569	tonio wandmacher
0B10D9A7	lahcen ouarbya
0B687C12	barbara arfe
0B862DFA	robert j woodham
0B894F9E	elizabeth sillence
0B8C27C0	gunes erkan
0CB19B8A	stewart
0CCD3CF5	lois boggess
0CD43826	daniele caligiore
0CD43AE0	renato keshet
0CD4737A	ann marie rabke
0CFB7123	paul mc kevitt
0D2A6AF9	edward h pechan
0D481EDB	anestis fachantidis
0D53CAF0	maayan geffet
0D9ABFAE	maria polukarov
0DD241A7	jeffrey s beis
0DD81769	viergever
0DE57B73	enrico minack
0E143520	nino burini
0E382206	benjamin n waber
0E7653D0	edoardo m airoldi
0EA4BDD4	thomas vanck
0EB9CC29	anja remshagen
0EC25CD3	abdelraouf ishtaiwi
0EC7E31A	csaba kazo
0EF753D2	john hogden
0EFC3997	david j urpani
0F156EB4	alex krimkevich
0F23BCBE	hiroshi hosobe
0F3C3ECF	ewa madalinskabugaj
0F4D859E	evangelos sakkopoulos
0F4E3BE5	michael j schoelles
0F545D15	marianne starlander
10081FC9	nileena velappan
104F7F06	pierre dillenbourg
105F504C	richard e cullingford
10715647	robert tamburo
108A170B	tugba bodrumlu
10B9F4EC	marc ubaldino
